bottom wear color,red,yellow,orange,brown,golden,beige,pink,purple and violet,green,turquoise,light blue,dark blue and navy,grey,silver,white,black
red,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1
yellow,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1
orange,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1
brown,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0
golden,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
beige,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
pink,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0
purple and violet,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0
green,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1
turquoise,1,1,1,1,0,1,1,0,1,0,0,1,1,0,1,1
light blue,1,1,1,1,0,1,0,0,1,0,1,1,1,0,1,1
dark blue and navy,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0
grey,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1
silver,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1
white,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1
black,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1
