Topwear Shape,Bottomwear Shape,Keep It Casual,Just Brunchin',Work,Date Night,Party
0,13,1,1,0,1,1
0,17,1,1,0,1,1
0,16,1,1,0,0,0
0,5,1,1,0,1,1
0,20,1,1,0,1,1
0,32,1,1,0,1,1
0,33,1,1,1,1,1
0,14,1,0,1,0,1
0,15,1,1,1,0,1
0,3,1,0,0,0,1
0,6,1,0,0,0,1
0,26,1,1,0,1,1
0,23,1,1,0,0,0
0,29,1,1,1,1,1
0,4,1,1,0,1,0
0,2,1,0,0,1,1
0,30,1,0,0,1,1
0,9,1,0,0,1,1
0,11,1,1,0,1,1
0,24,1,1,0,1,1
0,18,1,0,0,0,0
0,25,0,1,1,1,1
0,27,1,0,0,0,0
0,28,1,1,0,1,1
0,10,1,0,0,1,1
0,8,1,0,0,0,1
1,7,0,1,1,0,0
1,31,0,1,1,0,0
1,13,1,1,1,1,1
1,17,1,1,1,0,1
1,29,0,1,1,1,0
1,33,1,1,1,1,0
1,4,1,1,1,1,0
1,5,1,1,1,1,1
1,20,1,1,1,1,0
1,26,1,1,0,1,0
1,32,1,1,1,1,0
1,14,1,1,1,0,1
1,15,1,1,1,0,1
1,16,1,1,0,0,0
1,23,1,1,0,0,1
1,2,0,0,0,1,1
1,30,0,0,0,1,1
1,9,0,0,0,1,1
1,11,1,1,1,1,1
1,24,1,1,0,1,1
1,3,1,1,0,0,1
1,6,1,1,0,0,1
1,25,0,1,1,0,1
1,28,1,1,0,1,1
1,10,1,1,0,1,1
2,17,1,1,0,0,1
2,16,1,1,0,0,1
2,13,1,1,0,0,1
2,3,1,0,0,0,1
2,6,1,1,0,0,1
2,1,1,1,0,0,1
2,20,1,1,0,1,1
2,32,1,1,0,1,1
2,23,1,0,0,0,1
2,14,1,1,0,0,1
2,15,1,1,0,0,1
2,34,1,0,0,0,0
2,33,1,1,0,1,1
2,5,1,0,0,0,1
2,12,0,0,0,0,0
2,19,0,0,0,0,0
2,2,1,0,0,1,1
2,30,1,0,0,1,1
2,9,1,0,0,1,1
2,11,1,1,0,1,1
2,24,1,1,0,0,1
2,18,1,0,0,0,1
2,25,0,1,0,1,1
2,0,1,1,0,0,1
2,27,1,1,0,0,0
2,22,0,0,0,0,1
2,21,0,1,0,0,1
2,28,1,1,0,1,1
2,10,1,0,0,0,1
2,8,1,0,0,0,1
3,17,1,1,0,0,1
3,16,1,1,0,0,0
3,13,1,1,1,0,1
3,23,1,1,0,0,1
3,6,1,0,0,0,0
3,14,1,0,0,0,1
3,15,1,1,0,0,1
